district,fips,doy,year,tminc,tmeanc,tmaxc,pr,rmean,vpd,vs
Butte,46019,264,2022,6.433774535,11.73744355,17.04111256,0.187506104,49.96109656,0.764221788,3.10304184
Todd,46121,264,2022,8.353195868,13.09968109,17.84616631,2.794532712,49.15406485,0.813774774,4.407076538
Bennett,46007,264,2022,8.264839053,12.8954459,17.52605275,0.505684337,49.01776781,0.803736447,3.719361083
Oglala Lakota,46102,264,2022,8.424804109,13.10060645,17.7764088,0.013679539,49.16463718,0.816370265,3.57448638
Jackson,46071,264,2022,7.847389271,13.31858265,18.78977602,0.052237112,46.73812732,0.902954172,3.403127918
Mellette,46095,264,2022,7.411017749,13.09207994,18.77314213,0.807165346,48.21647405,0.875574145,4.437553784
Jones,46075,264,2022,7.140043415,13.16854247,19.19704152,0.101302705,46.69378248,0.922365827,4.080924173
Lyman,46085,264,2022,5.817003956,12.73556605,19.65412815,0.342628799,48.38911357,0.922650203,4.494842535
Buffalo,46017,264,2022,2.961705461,11.98674967,21.01179387,0.011806687,53.05108036,0.957361816,5.092925566
Tripp,46123,264,2022,7.075935293,13.00664723,18.93735916,1.816065978,50.53282472,0.847954546,4.718240499
Brule,46015,264,2022,4.804282765,12.66940041,20.53451805,0.330724366,53.6364503,0.900980725,4.885737691
Gregory,46053,264,2022,7.392013259,13.27403897,19.15606467,1.161911652,53.80355844,0.80395171,5.413390161
Charles Mix,46023,264,2022,7.481378098,13.67679238,19.87220667,0.56734083,55.47115119,0.81712205,5.461839476
Douglas,46043,264,2022,6.777999901,13.4445132,20.11102649,1.086800676,55.45164506,0.83264422,5.338949772
Bon Homme,46009,264,2022,8.710623908,14.37848696,20.04635001,0.348950145,57.29320524,0.792977531,4.942153546
Hutchinson,46067,264,2022,6.567561837,13.67251545,20.77746907,0.612036798,58.77263381,0.827783923,5.188721951
Miner,46097,264,2022,3.548211719,11.87308665,20.19796158,0,56.45437035,0.846506293,5.276012962
Sanborn,46111,264,2022,3.464407251,12.2194931,20.97457895,0,54.86445099,0.919635178,5.243330712
Jerauld,46073,264,2022,3.105610083,11.92372136,20.74183263,0.0205612,53.89574052,0.923690025,5.414447798
Aurora,46003,264,2022,4.942296525,12.92898105,20.91566558,0.19513774,53.20253504,0.924750278,4.979702086
Kingsbury,46077,264,2022,3.825204,11.5923926,19.35958119,0.038438714,54.50760689,0.819156504,6.218089128
Lake,46079,264,2022,4.483785609,11.69667073,18.90955586,0,56.22708078,0.765443738,5.298308633
Moody,46101,264,2022,5.15231659,12.08043821,19.00855983,0,55.8399249,0.767865297,5.136012792
Codington,46029,265,2022,4.211367223,10.21553196,16.21969669,0,62.60457242,0.560855152,4.082239124
Brown,46013,265,2022,3.215222799,10.28318547,17.35114815,0.002768805,57.60678348,0.679832817,3.828671638
Edmunds,46045,265,2022,4.183050144,10.40383574,16.62462133,0.018799344,55.03174568,0.671746378,4.860765004
Sully,46119,265,2022,6.202474402,12.13473829,18.06700217,0,46.26847763,0.862934669,5.669414729
Hughes,46065,265,2022,6.205139913,12.3763021,18.54746428,0.017976309,43.63457761,0.925695188,4.938459523
Stanley,46117,265,2022,7.146876259,12.66579859,18.18472092,0,44.06077061,0.910710953,5.905054442
Davison,46035,265,2022,6.163151959,12.28224904,18.40134612,0.029679361,48.43348988,0.840722915,4.052672007
Hanson,46061,265,2022,5.021296077,11.76662169,18.5119473,0.005523067,52.36771976,0.795769438,3.803416739
Beadle,46005,265,2022,4.713148052,11.43165233,18.1501566,0,52.64886513,0.775413021,4.134822598
Brookings,46011,265,2022,5.309029322,11.04196391,16.77489849,0.06358567,58.12448983,0.631956666,3.515382839
McCook,46087,265,2022,5.351982913,12.10570783,18.85943275,0.514493816,54.07367938,0.787113474,3.79369976
Minnehaha,46099,265,2022,5.594676863,11.85817357,18.12167028,1.113776086,56.38979405,0.716129536,3.488706101
Lincoln,46083,265,2022,6.279152972,12.28037844,18.2816039,0.258349047,53.53061528,0.760761952,2.840757445
Turner,46125,265,2022,6.725879408,12.64783244,18.56978547,0.399407833,53.93225409,0.770028453,3.496058602
Yankton,46135,265,2022,8.531869951,13.42104578,18.3102216,0.748699911,48.02926292,0.848346396,3.423998218
Custer,46033,265,2022,6.251953057,9.769050036,13.28614702,0.128886776,64.21163141,0.449015804,6.787125666
Meade,46093,265,2022,6.662093243,11.75018646,16.83827967,0.056795692,51.19001487,0.743434886,7.598749016
Pennington,46103,265,2022,6.973749973,11.14439686,15.31504375,2.73E-04,54.11810274,0.65577223,7.611491321
Lawrence,46081,265,2022,6.216436272,11.09359413,15.970752,0.10985219,64.80899243,0.53511144,8.783120901
Union,46127,265,2022,7.690219244,13.1486181,18.60701696,2.077016565,47.62840374,0.863280347,2.911532742
Clay,46027,265,2022,8.416162267,13.31843036,18.22069846,1.076686732,48.25660047,0.840973917,2.930323886
Grant,46051,265,2022,4.912445059,10.81965039,16.72685573,0,59.59333389,0.616723515,3.633841617
